tag,p1_tag,p2_tag,virtual
culc_main_entrance,culc0,culc1,0
culc_back_1,culc1,culc2,0
culc_conn,culc2,culc3,1
culc_back_entrance,culc3,culc4,0
culc_tg,culc4,culc0,0
lib_back,prglib0,prglib1,0
lib_conn,prglib1,prglib2,0
lib_front,prglib2,prglib3,0
lib_vir,prglib3,prglib0,1
crossland_vir,crossland0,crossland1,1
crossland_side,crossland1,crossland2,0
crossland_front,crossland2,crossland3,0
crossland_conn,crossland3,crossland0,0
hive_extension0,hive00,hive01,0
hive_extension1,hive01,hive02,0
hive_extension2,hive02,hive03,0
hive_extension3,hive03,hive00,0
hive_circle0,hive10,hive11,0
hive_circle1,hive11,hive12,0
hive_circle2,hive12,hive13,0
hive_circle3,hive13,hive14,0
hive_circle4,hive14,hive15,0
hive_circle5,hive15,hive16,0
hive_circle6,hive16,hive17,0
hive_circle7,hive17,hive10,0
hive_extension2,hive10,hive10,0
leer0,leer0,leer1,0
leer1,leer1,leer2,0
leer2,leer2,leer3,0
leer3,leer3,leer0,0
pettit0,pettit0,pettit1,0
pettit1,pettit1,pettit2,0
pettit2,pettit2,pettit3,0
pettit3,pettit3,pettit4,0
pettit4,pettit4,pettit5,0
pettit5,pettit5,pettit6,0
pettit6,pettit6,pettit7,0
pettit7,pettit7,pettit0,0
cadell0,cadell0,cadell1,0
cadell1,cadell1,cadell2,0
cadell2,cadell2,cadell3,0
cadell3,cadell3,cadell0,0
klaus00,klaus00,klaus01,0
klaus01,klaus01,klaus02,0
klaus02,klaus02,klaus03,0
klaus03,klaus03,klaus04,0
klaus04,klaus04,klaus00,0
klaus10,klaus10,klaus11,0
klaus11,klaus11,klaus12,0
klaus12,klaus12,klaus13,0
klaus13,klaus13,klaus14,1
klaus14,klaus14,klaus10,0
klaus20,klaus20,klaus21,0
klaus21,klaus21,klaus22,0
klaus22,klaus22,klaus23,0
klaus23,klaus23,klaus24,1
klaus24,klaus24,klaus20,0
coc0,coc0,coc1,0
coc1,coc1,coc2,0
coc2,coc2,coc3,0
coc3,coc3,coc4,0
coc4,coc4,coc5,0
coc5,coc5,coc6,0
coc6,coc6,coc7,0
coc7,coc7,coc0,0
cherry0,cherry0,cherry1,0
cherry1,cherry1,cherry2,0
cherry2,cherry2,cherry3,0
cherry3,cherry3,cherry0,0
inddes0,inddes0,inddes1,0
inddes1,inddes1,inddes2,0
inddes2,inddes2,inddes3,0
inddes3,inddes3,inddes0,0
eastarch00,eastarch00,eastarch01,0
eastarch01,eastarch01,eastarch02,0
eastarch02,eastarch02,eastarch03,0
eastarch03,eastarch03,eastarch00,0
eastarch10,eastarch10,eastarch11,0
eastarch11,eastarch11,eastarch12,0
eastarch12,eastarch12,eastarch13,0
eastarch13,eastarch13,eastarch10,0
eastarch20,eastarch20,eastarch21,0
eastarch21,eastarch21,eastarch22,0
eastarch22,eastarch22,eastarch23,0
eastarch23,eastarch23,eastarch20,0
rich0,rich0,rich1,0
rich1,rich1,rich2,0
rich2,rich2,rich3,0
rich3,rich3,rich0,0
hinman00,hinman00,hinman01,0
hinman01,hinman01,hinman02,0
hinman02,hinman02,hinman03,0
hinman03,hinman03,hinman00,0
hinman10,hinman10,hinman11,0
hinman11,hinman11,hinman12,0
hinman12,hinman12,hinman13,0
hinman13,hinman13,hinman10,0
